Barcode	cell_types	UMAP_1	UMAP_2
BC003034-1	Act_circ	-3.7848	-2.3081
BC000697-1	Tfh	2.4796	3.5341
BC001096-1	Th2	-0.2317	5.4357
BC002926-1	Act_circ	-3.4858	-5.5497
BC001487-1	Th17	-3.6257	3.4298
BC000978-1	Th2	1.4573	5.8139
BC002114-1	Th17	-4.2688	1.8685
BC001594-1	Th17	-4.4288	2.3804
BC002479-1	Tregs	-4.5566	0.2739
BC003674-1	Act2	4.3370	-2.9910
BC000331-1	Naive	6.0337	-0.0416
BC001662-1	Th17	-2.9268	4.0563
BC003073-1	Act_circ	-3.2486	-3.4692
BC003242-1	Th_CTL_like	0.1562	-5.1052
BC002891-1	Act_circ	-4.6292	-2.8518
BC000295-1	Naive	5.9322	0.1562
BC000461-1	Naive	4.9501	0.2720
BC002032-1	Th17	-3.5954	3.6295
BC001291-1	Th17	-2.8683	4.0618
BC002622-1	Tregs	-4.7983	0.2564
BC002881-1	Act_circ	-2.2926	-3.8807
BC000830-1	Tfh	3.6951	4.8872
BC002919-1	Act_circ	-3.1635	-3.1467
BC002994-1	Act_circ	-2.3772	-2.8599
BC003930-1	Act2	2.9932	-2.3868
BC002661-1	Tregs	-6.3456	0.3802
BC001787-1	Th17	-3.3294	4.1399
BC003589-1	Act2	2.9980	-3.4319
BC001972-1	Th17	-2.6573	4.2062
BC001099-1	Th2	-0.9313	5.0933
BC003879-1	Act2	2.9028	-3.5289
BC003276-1	Th_CTL_like	0.6244	-5.1225
BC000514-1	Tfh	3.6753	2.4745
BC003035-1	Act_circ	-3.3093	-3.2392
BC003027-1	Act_circ	-4.4427	-4.1438
BC003058-1	Act_circ	-2.9497	-4.4026
BC002793-1	Act_circ	-3.6581	-3.5374
BC003116-1	Th_CTL_like	-0.6392	-3.7253
BC000363-1	Naive	5.5270	-1.7155
BC002263-1	Th17	-3.6849	3.9800
BC001435-1	Th17	-3.6417	3.0976
BC001158-1	Th17	-3.1783	3.0149
BC001537-1	Th17	-3.4426	3.3785
BC001894-1	Th17	-5.0737	4.2243
BC001324-1	Th17	-4.2755	4.5657
BC003773-1	Act2	3.4345	-4.2758
BC000472-1	Tfh	2.9045	3.3955
BC001965-1	Th17	-3.4184	3.7639
BC002770-1	Act_circ	-4.3391	-2.8776
BC003956-1	Act2	3.2009	-3.0299
BC003869-1	Act2	3.5890	-3.4361
BC003024-1	Act_circ	-3.7017	-3.9205
BC001595-1	Th17	-3.1833	3.1055
BC003774-1	Act2	4.0575	-3.6260
BC002459-1	Tregs	-5.7624	0.4044
BC003076-1	Act_circ	-3.1917	-3.9046
BC003739-1	Act2	3.8934	-3.7572
BC001696-1	Th17	-3.5117	4.2955
BC000562-1	Tfh	3.2020	3.6311
BC003108-1	Act_circ	-4.4507	-3.3740
BC001928-1	Th17	-3.3829	3.5206
BC002902-1	Act_circ	-4.0317	-2.7032
BC000172-1	Naive	4.6124	-0.5438
BC003248-1	Th_CTL_like	-1.1691	-4.9085
BC003142-1	Th_CTL_like	-0.4281	-5.8593
BC000564-1	Tfh	2.4813	3.9579
BC001246-1	Th17	-3.5856	3.7294
BC001087-1	Th2	0.4711	3.6608
BC003449-1	Th_CTL_like	0.2105	-4.1689
BC001669-1	Th17	-4.2288	3.9846
BC002741-1	Act_circ	-4.2273	-2.6873
BC001832-1	Th17	-4.6813	4.2366
BC002415-1	Tregs	-5.1502	-0.3416
BC002669-1	Tregs	-5.6217	0.2379
BC003478-1	Act2	2.5942	-2.8373
BC000181-1	Naive	5.0066	-0.5379
BC003092-1	Act_circ	-3.0412	-1.9529
BC000039-1	Naive	5.2030	-0.2050
BC001371-1	Th17	-3.9564	4.3789
BC001384-1	Th17	-1.8329	5.3625
BC001611-1	Th17	-2.9528	3.6037
BC000081-1	Naive	6.2927	-0.7409
BC000630-1	Tfh	3.7933	2.2130
BC000224-1	Naive	5.0009	-1.0367
BC003166-1	Th_CTL_like	-0.3033	-5.3242
BC000647-1	Tfh	2.6749	4.0531
BC000186-1	Naive	6.1718	0.2924
BC000561-1	Tfh	3.7128	3.3042
BC003003-1	Act_circ	-2.8919	-3.8367
BC000468-1	Tfh	3.6383	3.5133
BC003029-1	Act_circ	-3.4519	-3.3099
BC002580-1	Tregs	-5.7380	0.7272
BC001818-1	Th17	-3.5245	3.3862
BC001416-1	Th17	-3.8149	2.7374
BC000530-1	Tfh	4.7791	3.4564
BC001286-1	Th17	-4.1386	3.0539
BC002428-1	Tregs	-5.3831	-0.2540
BC002517-1	Tregs	-4.6304	0.0289
BC002124-1	Th17	-3.3951	3.9841
BC001815-1	Th17	-5.5360	3.8260
BC001552-1	Th17	-2.3726	4.2937
BC000265-1	Naive	4.2035	-0.2063
BC002451-1	Tregs	-4.7945	0.3891
BC000122-1	Naive	5.5838	-1.7285
BC000411-1	Naive	4.6331	0.3951
BC001980-1	Th17	-3.7892	3.8905
BC002608-1	Tregs	-5.2093	-0.7309
BC002868-1	Act_circ	-4.4484	-2.9623
BC000513-1	Tfh	3.7151	4.4971
BC000837-1	Th2	-0.1126	4.8872
BC002095-1	Th17	-3.0173	2.8344
BC000293-1	Naive	5.4497	0.0331
BC003503-1	Act2	4.6931	-1.8013
BC000543-1	Tfh	3.3653	4.0898
BC002907-1	Act_circ	-3.4540	-3.9150
BC001636-1	Th17	-3.8026	3.7908
BC002531-1	Tregs	-5.6517	-0.1262
BC001978-1	Th17	-3.5505	3.6395
BC000317-1	Naive	5.0064	-0.2697
BC003135-1	Th_CTL_like	-0.2224	-5.1072
BC002187-1	Th17	-4.0075	2.4986
BC003483-1	Act2	3.0116	-2.8067
BC003950-1	Act2	3.3512	-2.6508
BC001522-1	Th17	-3.5031	4.4436
BC003943-1	Act2	3.4739	-3.8314
BC000730-1	Tfh	3.1827	3.7662
BC003315-1	Th_CTL_like	0.4262	-4.2860
BC001808-1	Th17	-3.3687	4.1513
BC000523-1	Tfh	4.0682	5.1051
BC001786-1	Th17	-3.5576	4.6882
BC002006-1	Th17	-4.8989	3.8846
BC001293-1	Th17	-3.3680	4.0812
BC002678-1	Tregs	-5.2616	-0.8996
BC002194-1	Th17	-4.0190	5.1383
BC003698-1	Act2	3.7970	-3.0561
BC000082-1	Naive	5.9763	0.6747
BC000918-1	Th2	1.1331	5.1100
BC003419-1	Th_CTL_like	0.4782	-4.9398
BC001548-1	Th17	-3.3915	1.9602
BC001503-1	Th17	-2.9711	2.6991
BC002972-1	Act_circ	-2.8820	-3.1355
BC001513-1	Th17	-4.5448	2.8307
BC001684-1	Th17	-3.5181	3.4408
BC001767-1	Th17	-2.3315	4.3041
BC002904-1	Act_circ	-4.2757	-3.9439
BC002473-1	Tregs	-5.0411	-0.2482
BC000791-1	Tfh	3.2466	3.8400
BC003671-1	Act2	4.5214	-3.5897
BC002274-1	Th17	-2.7486	3.7043
BC000307-1	Naive	5.7153	0.1689
BC002773-1	Act_circ	-3.4706	-3.8401
BC003882-1	Act2	3.4454	-3.7740
BC003085-1	Act_circ	-3.9597	-2.7490
BC001874-1	Th17	-3.7495	4.0458
BC002033-1	Th17	-3.4163	3.4646
BC000833-1	Th2	-0.5226	4.0217
BC002751-1	Act_circ	-2.8343	-4.0909
BC001116-1	Th2	-1.3590	4.6520
BC000566-1	Tfh	3.6038	3.4705
BC000585-1	Tfh	2.5744	2.7625
BC000033-1	Naive	3.5844	0.2303
BC003539-1	Act2	5.3093	-4.0593
BC003300-1	Th_CTL_like	0.6204	-4.9580
BC001760-1	Th17	-3.5830	2.8205
BC000912-1	Th2	0.3065	5.1627
BC001776-1	Th17	-3.5251	2.6271
BC000832-1	Th2	0.6366	5.2470
BC002136-1	Th17	-4.0136	3.7265
BC002884-1	Act_circ	-3.6223	-4.8389
BC003491-1	Act2	3.2943	-3.4567
BC000869-1	Th2	0.2283	4.8020
BC001494-1	Th17	-3.1572	3.2394
BC002700-1	Tregs	-3.6208	0.9540
BC001592-1	Th17	-2.9170	4.5730
BC000449-1	Naive	5.1877	-0.3565
BC002255-1	Th17	-2.2955	4.5824
BC001083-1	Th2	1.1714	5.2058
BC003471-1	Act2	3.2200	-4.2903
BC001278-1	Th17	-3.1850	3.5770
BC001160-1	Th17	-3.6095	2.6173
BC001591-1	Th17	-4.0368	4.4027
BC002568-1	Tregs	-4.8429	-0.3880
BC000728-1	Tfh	3.4995	4.3799
BC003544-1	Act2	2.8486	-3.9823
BC003472-1	Act2	4.2723	-3.8775
BC002341-1	Th17	-2.6538	3.0162
BC001221-1	Th17	-5.0361	3.6906
BC003534-1	Act2	3.9065	-3.2570
BC003947-1	Act2	4.0673	-3.0620
BC002066-1	Th17	-4.2758	4.3508
BC002694-1	Tregs	-5.9359	0.3431
BC001963-1	Th17	-2.2560	3.0088
BC000735-1	Tfh	4.7017	3.4650
BC001949-1	Th17	-3.9852	3.8209
BC001762-1	Th17	-5.6316	3.0236
BC002198-1	Th17	-3.6842	3.6506
BC003376-1	Th_CTL_like	0.3511	-4.0120
BC002971-1	Act_circ	-3.4060	-3.2844
BC001492-1	Th17	-4.5383	3.7426
BC002445-1	Tregs	-4.8514	-0.8762
BC000101-1	Naive	4.7192	0.4190
BC002465-1	Tregs	-5.1119	0.2674
BC001429-1	Th17	-4.1585	2.4027
BC001113-1	Th2	-1.0476	5.6364
BC000854-1	Th2	-0.8690	3.7491
BC001161-1	Th17	-4.4095	3.8341
BC003464-1	Act2	2.7743	-2.6506
BC003343-1	Th_CTL_like	-0.2492	-3.9284
BC001036-1	Th2	0.6979	5.0506
BC001012-1	Th2	-0.7829	6.2041
BC002040-1	Th17	-4.6867	3.3226
BC001712-1	Th17	-4.1601	3.0236
BC003063-1	Act_circ	-3.7159	-3.2417
BC000954-1	Th2	-1.1452	5.2320
BC001046-1	Th2	-0.2298	4.1217
BC000895-1	Th2	0.1897	5.0337
BC001180-1	Th17	-3.7686	3.5434
BC003474-1	Act2	3.3289	-4.1882
BC003686-1	Act2	4.3794	-3.7169
BC002411-1	Tregs	-5.4830	-1.5094
BC000420-1	Naive	6.2454	-0.1633
BC002541-1	Tregs	-5.5801	-1.2344
BC000911-1	Th2	1.5069	4.7412
BC003738-1	Act2	4.3950	-3.5771
BC003766-1	Act2	4.5160	-3.9985
BC001864-1	Th17	-3.7882	3.4276
BC003685-1	Act2	3.5242	-2.0680
BC000155-1	Naive	4.1087	-0.9580
BC003557-1	Act2	2.3320	-4.3397
BC000642-1	Tfh	3.1950	3.1793
BC003796-1	Act2	3.5363	-3.9673
BC002523-1	Tregs	-5.6169	-0.9426
BC003687-1	Act2	3.8212	-3.2294
BC001102-1	Th2	-0.8595	4.9469
BC000069-1	Naive	5.5609	-0.0532
BC001625-1	Th17	-3.1646	4.0287
BC000136-1	Naive	5.1364	-0.3155
BC000414-1	Naive	5.7493	0.4898
BC003423-1	Th_CTL_like	-0.8397	-4.0548
BC002271-1	Th17	-3.3984	3.4469
BC000214-1	Naive	4.9878	-0.0460
BC000602-1	Tfh	2.9257	3.9870
BC003909-1	Act2	3.6504	-2.9870
BC000498-1	Tfh	3.0173	3.4200
BC002789-1	Act_circ	-4.1229	-3.5217
BC001931-1	Th17	-2.7896	3.5301
BC002668-1	Tregs	-4.9900	0.3439
BC003783-1	Act2	2.6919	-4.6859
BC003025-1	Act_circ	-2.9051	-3.7370
BC003396-1	Th_CTL_like	-0.9085	-4.6979
BC000024-1	Naive	4.0643	1.1522
BC000687-1	Tfh	4.6676	4.8812
BC003577-1	Act2	4.2818	-3.4776
BC003348-1	Th_CTL_like	1.1182	-5.1802
BC001973-1	Th17	-3.9034	3.7469
BC001543-1	Th17	-3.7795	4.9155
BC003599-1	Act2	4.3506	-3.6244
BC001339-1	Th17	-2.9852	2.8069
BC001500-1	Th17	-2.1783	3.8995
BC002258-1	Th17	-4.6769	3.5492
BC002317-1	Th17	-3.3719	3.4601
BC000335-1	Naive	3.4458	0.2174
BC003966-1	Act2	4.1930	-4.1919
BC000752-1	Tfh	3.2608	4.0836
BC001562-1	Th17	-4.1091	3.4235
BC000623-1	Tfh	4.1171	3.2062
BC003985-1	Act2	3.4414	-2.6707
BC002493-1	Tregs	-5.3817	-0.1734
BC003682-1	Act2	2.8388	-4.7130
BC003269-1	Th_CTL_like	-0.8595	-5.4395
BC000840-1	Th2	-1.4444	6.0987
BC001989-1	Th17	-3.2494	4.6587
BC000669-1	Tfh	2.1315	3.0893
BC002991-1	Act_circ	-2.6839	-2.0392
BC002020-1	Th17	-2.7905	2.5825
BC002754-1	Act_circ	-3.5282	-3.1897
BC000165-1	Naive	4.5871	-0.8463
BC003673-1	Act2	4.2366	-3.6241
BC003757-1	Act2	2.0855	-3.4271
BC003689-1	Act2	3.7107	-2.6128
BC000377-1	Naive	4.2992	-0.4263
BC002628-1	Tregs	-4.2156	-1.5791
BC000968-1	Th2	0.8843	5.2214
BC000140-1	Naive	4.1110	-0.6384
BC002795-1	Act_circ	-3.5739	-3.5864
BC003764-1	Act2	4.1919	-4.0080
BC001166-1	Th17	-3.4406	3.4806
BC003905-1	Act2	3.9601	-4.1363
BC000116-1	Naive	5.4861	0.5792
BC003119-1	Th_CTL_like	-0.4524	-5.7391
BC001799-1	Th17	-3.3186	2.1506
BC000060-1	Naive	5.3738	1.2959
BC000760-1	Tfh	3.7425	3.1049
BC000078-1	Naive	5.9895	-0.4587
BC001231-1	Th17	-3.0968	3.8742
BC000631-1	Tfh	3.6674	4.8127
BC002478-1	Tregs	-5.3065	-0.0340
BC002586-1	Tregs	-5.1679	0.0486
BC001764-1	Th17	-3.7592	4.6425
BC001841-1	Th17	-4.3486	1.9925
BC000034-1	Naive	4.2118	0.5586
BC000242-1	Naive	4.9062	-0.9809
BC002799-1	Act_circ	-4.2614	-3.1703
BC001427-1	Th17	-3.2419	3.8162
BC000648-1	Tfh	3.8516	3.2291
BC003398-1	Th_CTL_like	-1.0436	-4.9760
BC000995-1	Th2	0.8843	6.0738
BC001851-1	Th17	-2.8409	3.3628
BC001891-1	Th17	-4.9067	3.3867
BC002772-1	Act_circ	-3.0290	-3.7626
BC000725-1	Tfh	3.1842	4.4166
BC000296-1	Naive	4.7533	-0.1643
BC000864-1	Th2	-0.6623	5.9852
BC003245-1	Th_CTL_like	1.1889	-5.8462
BC002764-1	Act_circ	-4.0746	-2.3005
BC003721-1	Act2	5.2580	-3.4125
BC001333-1	Th17	-3.4052	3.3683
BC000677-1	Tfh	3.4180	2.7679
BC000578-1	Tfh	3.5844	3.3536
BC000036-1	Naive	4.9284	-1.0061
BC000582-1	Tfh	2.7461	2.1644
BC003304-1	Th_CTL_like	-0.9875	-5.9350
BC000180-1	Naive	4.8311	-0.0046
BC001553-1	Th17	-2.4508	3.8125
BC002366-1	Th17	-3.7089	2.9945
BC000428-1	Naive	5.3566	-0.7539
BC001574-1	Th17	-4.9550	2.8168
BC002675-1	Tregs	-5.2513	-0.2849
BC003095-1	Act_circ	-3.7424	-4.6739
BC003481-1	Act2	2.6135	-4.1981
BC000734-1	Tfh	2.5174	3.7514
BC001661-1	Th17	-4.3762	4.8113
BC000479-1	Tfh	4.5614	4.5639
BC002629-1	Tregs	-5.2876	-1.0447
BC003870-1	Act2	4.4216	-1.7504
BC000319-1	Naive	5.5950	-0.4016
BC003997-1	Act2	3.7720	-3.7178
BC000415-1	Naive	5.7411	1.1489
BC003041-1	Act_circ	-2.0958	-4.7321
BC003566-1	Act2	4.6485	-4.0790
BC001190-1	Th17	-2.7475	4.5643
BC003235-1	Th_CTL_like	-0.5662	-5.5978
BC002707-1	Tregs	-4.2245	0.9042
BC000848-1	Th2	0.5657	4.1045
BC002395-1	Tregs	-4.7937	0.5425
BC002004-1	Th17	-2.5486	3.6020
BC002425-1	Tregs	-6.1556	-0.1609
BC002166-1	Th17	-1.9557	3.2038
BC002434-1	Tregs	-4.7701	1.0024
BC000239-1	Naive	4.6644	1.3124
BC003750-1	Act2	3.1129	-3.4072
BC001570-1	Th17	-2.4224	2.5112
BC002990-1	Act_circ	-3.5632	-2.2832
BC000720-1	Tfh	5.0502	4.1771
BC002965-1	Act_circ	-2.0000	-4.5607
BC002416-1	Tregs	-4.3794	-0.6022
BC002213-1	Th17	-3.1336	2.3007
BC000898-1	Th2	0.2098	4.9061
BC000607-1	Tfh	2.4007	4.3164
BC002612-1	Tregs	-5.4338	1.5565
BC002012-1	Th17	-3.6124	3.1531
BC001856-1	Th17	-2.9200	3.7214
BC001452-1	Th17	-3.4853	2.4445
BC001117-1	Th2	0.8553	4.4085
BC002216-1	Th17	-3.9942	3.3654
BC002337-1	Th17	-3.3767	3.0232
BC000099-1	Naive	6.2658	-0.4030
BC001252-1	Th17	-3.6397	4.5098
BC001724-1	Th17	-4.2956	3.2659
BC000188-1	Naive	5.0062	-0.0365
BC001152-1	Th17	-3.9094	3.8782
BC002637-1	Tregs	-5.0509	-0.5324
BC000605-1	Tfh	3.6810	4.2587
BC003214-1	Th_CTL_like	0.1953	-5.7465
BC001086-1	Th2	-0.0231	4.1924
BC002785-1	Act_circ	-2.2443	-4.0729
BC001446-1	Th17	-4.4908	3.9805
BC000938-1	Th2	0.8891	5.1479
BC001933-1	Th17	-3.6393	4.0293
BC000741-1	Tfh	3.4474	3.5856
BC002327-1	Th17	-3.8374	3.8266
BC002511-1	Tregs	-4.2767	-0.2261
BC002062-1	Th17	-1.9875	1.9304
BC002722-1	Tregs	-4.4106	1.1326
BC003361-1	Th_CTL_like	1.0652	-3.5156
BC000608-1	Tfh	4.1226	2.9985
BC001899-1	Th17	-2.6940	2.2132
BC001946-1	Th17	-4.2242	1.7000
BC000951-1	Th2	0.3657	5.0472
BC002244-1	Th17	-2.4962	3.0754
BC000930-1	Th2	-0.0278	5.3258
BC003561-1	Act2	3.6012	-3.1656
BC001713-1	Th17	-4.3661	2.3019
BC002909-1	Act_circ	-2.1331	-3.6835
BC003639-1	Act2	3.1639	-4.5449
BC001257-1	Th17	-2.9861	4.0886
BC002014-1	Th17	-3.3692	3.6461
BC000178-1	Naive	4.8476	0.4084
BC003890-1	Act2	4.3121	-4.9315
BC003813-1	Act2	3.4363	-3.4637
BC002043-1	Th17	-3.0475	3.6043
BC002804-1	Act_circ	-2.9000	-3.4483
BC001287-1	Th17	-4.7993	4.4318
BC001988-1	Th17	-3.1873	4.7401
BC001044-1	Th2	1.0262	5.2369
BC002900-1	Act_circ	-4.5631	-2.2766
BC001356-1	Th17	-4.4484	2.8886
BC000610-1	Tfh	2.6605	2.4083
BC002540-1	Tregs	-4.4222	0.3773
BC002094-1	Th17	-4.9223	2.4435
BC000309-1	Naive	5.0531	0.9562
BC002546-1	Tregs	-4.4831	0.2681
BC002689-1	Tregs	-5.0992	-0.5043
BC000762-1	Tfh	2.9697	3.1463
BC002160-1	Th17	-3.0308	3.4992
BC003177-1	Th_CTL_like	-0.6306	-5.4012
BC001108-1	Th2	0.4827	4.8228
BC002652-1	Tregs	-5.4925	-0.6754
BC003229-1	Th_CTL_like	-0.0888	-5.4218
BC001015-1	Th2	0.3100	3.8771
BC003260-1	Th_CTL_like	0.6206	-3.9375
BC000282-1	Naive	5.3295	1.0182
BC001888-1	Th17	-4.0979	4.2891
BC001449-1	Th17	-2.7189	2.8786
BC001037-1	Th2	0.2902	4.5417
BC000754-1	Tfh	3.5454	3.7850
BC001967-1	Th17	-3.3298	3.3056
BC000904-1	Th2	0.1977	4.8227
BC000174-1	Naive	5.1023	-0.3221
BC002901-1	Act_circ	-2.8119	-3.5675
BC002197-1	Th17	-4.1768	3.6970
BC000763-1	Tfh	2.9986	2.9146
BC000009-1	Naive	4.8483	0.0377
BC002506-1	Tregs	-5.0753	0.5494
BC001359-1	Th17	-3.1033	4.7433
BC003780-1	Act2	3.1180	-2.7023
BC000782-1	Tfh	3.2599	2.6239
BC003581-1	Act2	3.8612	-2.2791
BC000042-1	Naive	5.4305	1.1090
BC000966-1	Th2	0.9647	5.1072
BC002458-1	Tregs	-3.9465	-0.3468
BC002386-1	Tregs	-4.9672	-0.2571
BC002515-1	Tregs	-4.6811	0.4997
BC000803-1	Tfh	3.6664	3.4384
BC000147-1	Naive	3.9982	-0.2119
BC002780-1	Act_circ	-3.6774	-3.9533
BC000131-1	Naive	4.8598	-0.4929
BC001981-1	Th17	-2.9097	4.4012
BC003047-1	Act_circ	-2.7120	-4.4557
BC001082-1	Th2	0.3886	4.1462
BC001448-1	Th17	-2.9246	3.6918
BC003836-1	Act2	2.8994	-3.8352
BC001476-1	Th17	-3.3240	3.3926
BC002621-1	Tregs	-5.0319	0.0525
BC003825-1	Act2	4.8474	-3.7788
BC001560-1	Th17	-3.0905	3.6539
BC003935-1	Act2	4.2248	-4.3985
BC000017-1	Naive	5.3122	-0.8283
BC003941-1	Act2	4.0414	-4.3754
BC000120-1	Naive	5.0481	-0.6241
BC002106-1	Th17	-3.0257	2.9989
BC000409-1	Naive	5.3847	-0.0401
BC001997-1	Th17	-3.0692	3.7111
BC001740-1	Th17	-2.4229	3.8434
BC001183-1	Th17	-3.7721	4.1834
BC000151-1	Naive	4.3906	-0.1844
BC000671-1	Tfh	3.9370	3.4766
BC002984-1	Act_circ	-2.9499	-4.4438
BC000287-1	Naive	4.1842	-0.2873
BC003889-1	Act2	2.8302	-2.2012
BC000737-1	Tfh	3.8085	3.8885
BC002019-1	Th17	-5.1747	2.4099
BC001820-1	Th17	-4.0645	3.8176
BC003798-1	Act2	3.4985	-3.4286
BC003989-1	Act2	3.1715	-3.8618
BC003240-1	Th_CTL_like	0.4200	-5.0777
BC003347-1	Th_CTL_like	-0.9872	-5.1069
BC002159-1	Th17	-2.9186	3.8096
BC003485-1	Act2	2.7648	-3.4037
BC003933-1	Act2	4.0516	-3.3856
BC001572-1	Th17	-4.0356	3.7411
BC002421-1	Tregs	-4.9706	-0.7290
BC002892-1	Act_circ	-4.3972	-2.5076
BC003157-1	Th_CTL_like	-0.3799	-6.4266
BC001095-1	Th2	-1.2065	5.2982
BC000885-1	Th2	-0.5399	5.1512
BC003128-1	Th_CTL_like	0.2460	-5.3725
BC001240-1	Th17	-3.7724	2.8807
BC000226-1	Naive	4.6876	-0.2281
BC001392-1	Th17	-2.2056	3.7356
BC003461-1	Act2	2.7947	-4.6386
BC002487-1	Tregs	-6.4940	-0.2283
BC002310-1	Th17	-4.7625	4.1303
BC002553-1	Tregs	-5.3539	-0.8654
BC003582-1	Act2	2.9547	-2.7581
BC002856-1	Act_circ	-4.1457	-3.2761
BC000256-1	Naive	4.9093	-0.4360
BC001879-1	Th17	-4.7275	3.0552
BC002129-1	Th17	-3.9958	2.8385
BC000935-1	Th2	0.2823	5.4396
BC003709-1	Act2	3.6617	-2.9571
BC000533-1	Tfh	3.3961	3.7916
BC000850-1	Th2	-0.6745	4.8698
BC001196-1	Th17	-4.9526	3.6401
BC001316-1	Th17	-3.2844	2.3390
BC003848-1	Act2	2.5789	-4.0519
BC001780-1	Th17	-3.8055	3.5659
BC000525-1	Tfh	2.7287	4.6438
BC002384-1	Tregs	-3.7382	-1.2505
BC001510-1	Th17	-3.6087	2.9955
BC001375-1	Th17	-4.2686	2.6861
BC003084-1	Act_circ	-3.5634	-3.9968
BC001791-1	Th17	-2.9910	4.0005
BC003118-1	Th_CTL_like	-0.1629	-4.7920
BC002560-1	Tregs	-5.1221	0.7447
BC000330-1	Naive	5.1101	-0.2489
BC001199-1	Th17	-3.3370	1.8354
BC000061-1	Naive	5.2565	0.8150
BC003630-1	Act2	3.0280	-3.6463
BC002563-1	Tregs	-4.5254	0.1578
BC001559-1	Th17	-3.5069	3.7210
BC000800-1	Tfh	3.3071	2.7874
BC002583-1	Tregs	-6.0004	0.0458
BC001172-1	Th17	-3.5963	3.4508
BC002089-1	Th17	-4.0487	3.6090
BC001578-1	Th17	-4.3291	3.3996
BC002423-1	Tregs	-5.5488	0.2265
BC000035-1	Naive	4.8740	-0.0801
BC001282-1	Th17	-1.9673	2.9611
BC003273-1	Th_CTL_like	-0.1103	-5.0427
BC002729-1	Act_circ	-5.0891	-4.7160
BC001249-1	Th17	-4.3458	4.7025
BC002121-1	Th17	-4.4926	5.1542
BC003912-1	Act2	2.6553	-3.8358
BC001748-1	Th17	-3.7837	5.0896
BC003755-1	Act2	3.4386	-3.9916
BC002547-1	Tregs	-5.1179	0.4437
BC001880-1	Th17	-4.8818	2.4582
BC001269-1	Th17	-2.3031	3.1174
BC003091-1	Act_circ	-2.6646	-2.8949
BC003244-1	Th_CTL_like	0.3906	-4.6575
BC002993-1	Act_circ	-4.5482	-3.4255
BC002577-1	Tregs	-5.7526	0.2049
BC000274-1	Naive	4.6376	0.2955
BC000073-1	Naive	4.9536	0.7371
BC001590-1	Th17	-3.4730	2.5643
BC003661-1	Act2	4.0711	-3.9783
BC002299-1	Th17	-3.2195	2.4305
BC000526-1	Tfh	3.4353	3.7513
BC001501-1	Th17	-3.2352	3.2317
BC000702-1	Tfh	3.2543	3.2987
BC003346-1	Th_CTL_like	0.3873	-5.6674
BC001547-1	Th17	-3.2539	3.4118
BC001131-1	Th2	0.8272	5.0469
BC003728-1	Act2	3.4697	-2.8115
BC003484-1	Act2	3.2874	-3.7068
BC003525-1	Act2	2.3905	-3.1411
BC002167-1	Th17	-4.0875	3.4552
BC001885-1	Th17	-3.0088	3.3410
BC003587-1	Act2	3.5303	-3.3484
BC003422-1	Th_CTL_like	-0.2213	-4.1857
BC001275-1	Th17	-4.3441	3.7417
BC003131-1	Th_CTL_like	1.7747	-5.8343
BC000723-1	Tfh	3.8061	3.7066
BC002942-1	Act_circ	-3.1080	-2.7585
BC001639-1	Th17	-3.0741	3.0825
BC000246-1	Naive	4.2103	0.0037
BC003518-1	Act2	2.7472	-3.8066
BC003734-1	Act2	2.5829	-3.9501
BC003992-1	Act2	5.2657	-2.8244
BC001400-1	Th17	-4.7410	3.7284
BC000799-1	Tfh	3.3751	3.2680
BC003893-1	Act2	3.6953	-3.3323
BC000499-1	Tfh	1.9985	4.3865
BC001742-1	Th17	-3.4749	4.0756
BC002489-1	Tregs	-4.7206	-0.1703
BC002989-1	Act_circ	-3.9745	-5.4006
BC002720-1	Tregs	-3.7252	-1.0139
BC002055-1	Th17	-2.7547	3.8103
BC001315-1	Th17	-3.8054	2.7645
BC002593-1	Tregs	-5.1089	0.7030
BC001635-1	Th17	-3.3340	2.5226
BC002698-1	Tregs	-5.2989	1.0415
BC000713-1	Tfh	2.7116	4.4455
BC000621-1	Tfh	3.8714	5.3788
BC001182-1	Th17	-3.3368	2.9041
BC000422-1	Naive	4.1923	1.6585
BC003819-1	Act2	3.0084	-4.6995
BC001089-1	Th2	-0.0852	4.5714
BC003487-1	Act2	4.1180	-3.5390
BC002826-1	Act_circ	-2.9998	-4.6957
BC003210-1	Th_CTL_like	-0.8378	-5.2333
BC001911-1	Th17	-4.5163	4.2002
BC003736-1	Act2	2.7020	-3.9637
BC001204-1	Th17	-3.8457	3.4948
BC000129-1	Naive	5.0130	-0.9111
BC003602-1	Act2	2.5325	-3.6701
BC000861-1	Th2	1.0984	4.5709
BC001121-1	Th2	-0.6327	6.2813
BC002015-1	Th17	-4.0198	2.7968
BC003922-1	Act2	3.3951	-2.6918
BC002600-1	Tregs	-4.6847	0.6598
BC002345-1	Th17	-3.7031	5.0157
BC001300-1	Th17	-4.1709	3.7393
BC003341-1	Th_CTL_like	0.7662	-4.8727
BC002552-1	Tregs	-4.8775	-0.4114
BC003754-1	Act2	3.8340	-4.8110
BC002747-1	Act_circ	-3.0093	-3.3169
BC000259-1	Naive	4.7730	-1.7528
BC001357-1	Th17	-3.2514	2.6144
BC002674-1	Tregs	-5.1927	-0.1796
BC003743-1	Act2	3.3319	-3.7653
BC001652-1	Th17	-4.1081	3.3493
BC003818-1	Act2	3.3719	-3.4756
BC002206-1	Th17	-3.8832	2.5386
